name,artist,mood,mp3_path
AR Rahman Hit Songs ｜ Soniya Soniya Video Song ｜ Ratchagan Tamil Movie ｜ Nagarjuna ｜ Sushmita Sen,Unknown,angry,songs/angry/AR Rahman Hit Songs ｜ Soniya Soniya Video Song ｜ Ratchagan Tamil Movie ｜ Nagarjuna ｜ Sushmita Sen.mp3
Arijit Singh ：- Jo Wada Kiya Wo Nibhana Padega ： Tribute to Lata Mangeshkar Ji ｜ Naam Reh Jayega,Unknown,angry,songs/angry/Arijit Singh ：- Jo Wada Kiya Wo Nibhana Padega ： Tribute to Lata Mangeshkar Ji ｜ Naam Reh Jayega.mp3
Asuran - Polladha Boomi Lyric Video ｜ Dhanush ｜ Vetri Maaran ｜ G V Prakash ｜ Kalaippuli S Thanu,Unknown,angry,songs/angry/Asuran - Polladha Boomi Lyric Video ｜ Dhanush ｜ Vetri Maaran ｜ G V Prakash ｜ Kalaippuli S Thanu.mp3
Athisiya Raagam - KJ Yesudas Live Performance,Unknown,angry,songs/angry/Athisiya Raagam - KJ Yesudas Live Performance.mp3
Avalukena - Song Video ｜ Anirudh Ravichander ｜ Vignesh Shivan,Unknown,angry,songs/angry/Avalukena - Song Video ｜ Anirudh Ravichander ｜ Vignesh Shivan.mp3
Eminem - Venom,Unknown,angry,songs/angry/Eminem - Venom.mp3
Malare,Unknown,calm,songs/calm/Malare.webm
Mounam Swaramai,Unknown,calm,songs/calm/Mounam Swaramai.webm
Neeyum Nilavum,Unknown,calm,songs/calm/Neeyum Nilavum.webm
Perfect,Unknown,calm,songs/calm/Perfect.webm
Photograph,Unknown,calm,songs/calm/Photograph.webm
Believer,Unknown,energetic,songs/energetic/Believer.webm
Enemy,Unknown,energetic,songs/energetic/Enemy.webm
Roar,Unknown,energetic,songs/energetic/Roar.webm
Thunder,Unknown,energetic,songs/energetic/Thunder.webm
Unstoppable,Unknown,energetic,songs/energetic/Unstoppable.webm
Abhi to party,Unknown,happy,songs/happy/Abhi to party.mp3
Aaro Viral Neetti - Video Song ｜ Gireesh Puthenchery - Vidyasagar ｜ Manju Warrier ｜ Pranayavarnangal,Unknown,happy,songs/happy/Aaro Viral Neetti - Video Song ｜ Gireesh Puthenchery - Vidyasagar ｜ Manju Warrier ｜ Pranayavarnangal.mp3
Appadi Podu - Video Song ｜ Ghilli ｜ Thalapathy Vijay ｜ Trisha ｜ Vidyasagar ｜ Sun Music,Unknown,happy,songs/happy/Appadi Podu - Video Song ｜ Ghilli ｜ Thalapathy Vijay ｜ Trisha ｜ Vidyasagar ｜ Sun Music.mp3
Appangal Eambadum ｜ Original Video Song 2K ｜ Ustad Hotel ｜ Dulquer Salmaan ｜ Nithya Menen,Unknown,happy,songs/happy/Appangal Eambadum ｜ Original Video Song 2K ｜ Ustad Hotel ｜ Dulquer Salmaan ｜ Nithya Menen.mp3
Arabic Kuthu - Video Song ｜ Beast ｜ Thalapathy Vijay ｜ Pooja Hegde ｜ Sun Pictures ｜ Nelson ｜ Anirudh,Unknown,happy,songs/happy/Arabic Kuthu - Video Song ｜ Beast ｜ Thalapathy Vijay ｜ Pooja Hegde ｜ Sun Pictures ｜ Nelson ｜ Anirudh.mp3
"Arere Avala Naguva ｜ Sarkari Hi. Pra. Shaale, Kasaragodu ｜ Ranjan ｜ Rishab Shetty ｜ Vasuki Vaibhav",Unknown,happy,"songs/happy/Arere Avala Naguva ｜ Sarkari Hi. Pra. Shaale, Kasaragodu ｜ Ranjan ｜ Rishab Shetty ｜ Vasuki Vaibhav.mp3"
Armadham ｜ Aavesham ｜ Jithu Madhavan ｜Fahadh Faasil ｜ Sushin Shyam ｜ Vinayak｜ Nazriya｜ Anwar Rasheed,Unknown,happy,songs/happy/Armadham ｜ Aavesham ｜ Jithu Madhavan ｜Fahadh Faasil ｜ Sushin Shyam ｜ Vinayak｜ Nazriya｜ Anwar Rasheed.mp3
Ae Dil Hai Mushkil,Unknown,sad,songs/sad/Ae Dil Hai Mushkil.webm
Channa Mereya,Unknown,sad,songs/sad/Channa Mereya.webm
Tadap Tadap Ke,Unknown,sad,songs/sad/Tadap Tadap Ke.webm
Tum Hi Ho,Unknown,sad,songs/sad/Tum Hi Ho.webm
